arquivo,aba,linha,embarcacao,numeroSerie,marca,modelo,capacidade,tipoPack,dataFabrico,armador,dataInspecao,observacao,raw
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,10,,Serial No.,,,,,,,,,Identification: |  | Type: |  |  |  | Capacity: |  | Serial No. |  | Date of Manuf.: |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,11,,,,,Capacidade:,,,,,,Identificação: |  | Tipo: |  |  |  | Capacidade: |  | No. Série: |  | Data de Fabr.: |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,17,,Serial No.,,,,,,,,,Cylinders: |  | Serial No. |  |  |  | Contents CO2 |  | Contents N2 |  | Latest hyd. Test |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,24,,Serial No.,,,,,,,,,Equipment: |  | Unit |  |  |  | Type |  | Serial No. |  | Expiry date |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,26,,,,,,Emengency pack:,,,2026-01-03,, |  | Emengency pack: |  |  |  | SIMPL. REDUZ. |  | 5017330300014 |  | 2026-01-03 00:00:00 |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,47,,,,,,,,,2025-01-02,, |  | 2025-01-02 00:00:00 |  |  |  | OREY TÉCNICA |  |  |  | 2026-01-02 00:00:00 |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,49,,,,,,,,,,Remarks/Modifications Observações/Modificações, |  | National Marine |  |  | Remarks/Modifications Observações/Modificações |  |  |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,CERTIFICADO,66,,,,,,,,Armador:,,,Armador: |  |  |  |  |  |  |  |  | Signature |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,7,,,MARCA/MODELO:,MARCA/MODELO:,,,,,,, | JANGADA: | 5017330300014 | NAVIO: | NANCI MARIA |  | MARCA/MODELO: | RFD SEASAVA |  | 8 |  |  |  |  | 
AZ25-001 NANCI MARIA.xlsx,QUADRO,21,,,,,,Fastening for Emergency Pack,,,,, | Seam Protecting Tapes |  | Fastening for Emergency Pack |  |  | Smoke Signals |  |  |  |  |  |  |  | 
